District,Candidate,Party,Votes
Bidar South,NARSAPPA,Independent,537
Bidar South,SHANKAR MARUTI FIRANGE,Republican Party of India,488
Bidar South,BHASKER BABU PATERPALLI,Ambedkar National Congress,403
Bidar South,PRABHU,Independent,350
Bidar South,HASIM,Bharatiya Praja Paksha,310
Bidar South,BASHEERMIYA,Independent,225
Bijapur City,MAKBUL S BAGAWAN,Indian National Congress,48615
Bijapur City,BASANAGOUDA R PATIL (YATNAL),Janata Dal  (Secular),39235
Bijapur City,APPASAHEB (APPU) MALLAPPA PATTANASHETTI,Bharatiya Janata Party,26235
Bijapur City,KARIBASAVARAJ BASAVARAJ NAGUR (BABU),Karnataka Jantha Paksha,1054
Bijapur City,RAJESH @ RAVI  Y  VALLYAPUR,Independent,595
Bijapur City,BHAVI VISHWANATH SATALINGAPPA,Independent,586
Bijapur City,ATTAUR REHAMAN AJIJUL REHAMAN JAHAGIRDAR,Indian Union Muslim League,556
Bijapur City,PREMANAND HUSANAPPA MASHYAL,Independent,392
Bijapur City,AINAPUR VASUNDARA MANOHAR,Independent,357
Bijapur City,MAHAMMADRAFIQ RAJESAB GURIKAR,SOCIAL DEMOCRATIC PARTY OF INDIA,325
Bijapur City,ABBIVAKAS ABDURAJAK PEERJADE,Welfare Party Of India,314
Bijapur City,NIRMALA SHRINIVAS ARAKERI,Independent,201
Bijapur City,RAJASHEKHAR S PATIL,Badavara Shramikara Raitara Congress Party,182
Bijapur City,MALLIKARJUN H T,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),167
Bijapur City,KADECHUR KALLAPPA REVENASIDDAPPA,Hindustan Janta Party,104
Bijapur City,CHANDRU R  KALABURGI,Independent,103
Bilgi,J . T. PATIL,Indian National Congress,66655
Bilgi,MURAGESH. RUDRAPPA. NIRANI,Bharatiya Janata Party,55417
Bilgi,BASAVAPRABHU. APPASAHEB. SARANADAGOUDA,Janata Dal  (Secular),20067
Bilgi,RAMESH. YALLAPPA. BHAJANTRI,Independent,1631
Bilgi,DEVENDRAPPA.  BASAPPA. PUJAR,Badavara Shramikara Raitara Congress Party,1215
Bilgi,BALAPPA.  H. NANDEPPANAVAR,Bahujan Samaj Party,825
Bilgi,YALLAPPA. SANGAPPA. MULIMANI,Independent,731
Bilgi,MADAR. LAKSHMAPPA . BHEEMAPPA,Independent,523
Bilgi,KARIYAPPA. H . ANADINNI,Independent,488
Bilgi,BASAPPA. RAMAPPA. LAGALI,Independent,419
Bilgi,MEERASAHEB. MOULASAHEB. SHEKH(NADAF),Independent,389
Bilgi,MAHESH. BASAPPA. NANDIHAL,Independent,328
Bilgi,GOUSLAJAM. B. MULLA,Independent,253
Bilgi,VEERANNA . GOVINDAGOUDA .HALEGOUDAR,Janata Dal  (United),238
Bommanahalli,SATHISH REDDY.M,Bharatiya Janata Party,86552
Bommanahalli,NAGABHUSHANA.C,Indian National Congress,60700
Bommanahalli,DR.ASHWIN MAHESH,Lok Satta Party,11915
Bommanahalli,R.SHARASCHANDRA(BABU),Janata Dal  (Secular),10621
Bommanahalli,B.RAMESH REDDY,Karnataka Jantha Paksha,1832
Bommanahalli,YOGESH DEVARAJ,Independent,1161
Bommanahalli,AFSAR PASHA,Bahujan Samaj Party,763
Bommanahalli,NAGABHUSHAN.R,Independent,472
Bommanahalli,SRINIVAS.S.T,Badavara Shramikara Raitara Congress Party,433
Bommanahalli,S.N.JAGADISH REDDY,Independent,285
Byadgi,BASAVARAJ NEELAPPA SHIVANNANAVAR,Indian National Congress,57707
Byadgi,SHIVARAJ SAJJANAR,Karnataka Jantha Paksha,44348
Byadgi,BALLARY VIRUPAKSHAPPA RUDRAPPA,Bharatiya Janata Party,37877
Byadgi,SHIVANNA HUGAR,Independent,1675
Byadgi,DADAPEER MARDANSAB BHOOSI,Badavara Shramikara Raitara Congress Party,1563
Byadgi,HALAPPA TIMMENAHALLI,Independent,1438
Byadgi,CHANDRAPPA BHARAMAPPA KARAGI,Janata Dal  (Secular),1163
Byadgi,BASAVANTAPPA GUDDAPPA GONEMMANAVAR,Bahujan Samaj Party,1023
Byadgi,BASAVANTAPPA HONNAPPA HULLATTI,Sarva Janata Party,814
Byadgi,SALIMATH RUDRAYYA ANDANAYYA,Independent,707
Byadgi,B. M. JAYADEVAMATHAD,Independent,620
Byadgi,SHIVAKUMAR MAHADEVAPPA TALAWAR,Independent,560
Byadgi,DEVAPPA RAMAPPA HULIKELLAPPANAVAR,Independent,336
Byatarayanapura,KRISHNA BYRE GOWDA,Indian National Congress,96125
Byatarayanapura,A.RAVI,Bharatiya Janata Party,63725
Byatarayanapura,HANUMANTE GOWDA,Janata Dal  (Secular),41360
Byatarayanapura,K.MANJUNATH,Karnataka Jantha Paksha,1781
Byatarayanapura,YOGAIYAH.V.C,Lok Satta Party,1268
Byatarayanapura,HANUMANTHE GOWDA,Independent,908
Byatarayanapura,A.BYREGOWDA,Independent,569
Byatarayanapura,EZAZ PASHA,Ambedkar National Congress,523
Byatarayanapura,SADIQ BASHA,Independent,497
Byatarayanapura,NAGARAJA.M,Independent,321
Byatarayanapura,S.VINAYAK SUBRAMANIYA @ S.VINAYAKA SUBRAMANI,Badavara Shramikara Raitara Congress Party,302
Byatarayanapura,SHANTHA KUMARI,Mahila Pradhana Paksha,275
Byatarayanapura,ANSAR PASHA,Independent,200
Byatarayanapura,D.DEVRAJ,Independent,178
Byatarayanapura,K.SRIDHAR,Ambedkar Janatha Party,148
Byatarayanapura,ABDUL KHADEER,Independent,142
Byndoor,K.GOPALA POOJARY,Indian National Congress,82277
Byndoor,B.M. SUKUMAR SHETTY,Bharatiya Janata Party,51128
Byndoor,NAVEENCHANDRA UPPUNDA,Karnataka Jantha Paksha,4177
Byndoor,K.SHANKER,Communist Party of India  (Marxist),2960
Byndoor,H. SURESH POOJRAY,Independent,1611
Byndoor,UDAYA KUMAR TALLUR,Bahujan Samaj Party,1515
Byndoor,SURAYYA BANU,Janata Dal  (Secular),1023
Byndoor,SRIDHAR PEDEMANE,Independent,957
Byndoor,LOKESH VITTAL BORKAR SIRSI,Independent,630
Byndoor,DIVAKAR KOTIYAN,Independent,620
Byndoor,ABDUL AZEEZ,Independent,463
Byndoor,ABDUL HAZID,Independent,395
Byndoor,MANJUNATHA  K,Janata Dal  (United),334
C.V. Raman Nagar,S. RAGHU,Bharatiya Janata Party,53444
C.V. Raman Nagar,P. RAMESH,Indian National Congress,44982
C.V. Raman Nagar,J. HEMALATHA SURESH RAJ,Janata Dal  (Secular),3179
C.V. Raman Nagar,A. RAVI KUMAR,Karnataka Jantha Paksha,1064
C.V. Raman Nagar,M. SHIVASHANKAR,Independent,822
C.V. Raman Nagar,B.T. SRINIVAS,Bahujan Samaj Party,645
C.V. Raman Nagar,I. VENKATESH,Independent,573
C.V. Raman Nagar,N. GOPI,Kannada Chalavali Vatal Paksha,564
C.V. Raman Nagar,NAGENDRA P.,Janata Dal  (United),448
C.V. Raman Nagar,I.M.S. MANIVANNAN,Independent,376
C.V. Raman Nagar,M.H. CHANDRA SHEKAR,Badavara Shramikara Raitara Congress Party,210
Challakere,T RAGHUMURTHY,Indian National Congress,60197
Challakere,K T KUMARASWAMY,Karnataka Jantha Paksha,37074
Challakere,P THIPPESWAMY(P.T),Janata Dal  (Secular),27373
Challakere,G P JAYAPALAIAH,Bharatiya Janata Party,12981
Challakere,L NAGARAJU(NAGANNA),Badavara Shramikara Raitara Congress Party,4233
Challakere,B HANUMANTHARAYA,Independent,2568
Challakere,P PALAIAH,Bahujan Samaj Party,998
Challakere,DEEPA C,Samajwadi Party,909
Challakere,LAKSHMIDEVI,Independent,813
Challakere,M PALAIAH,Independent,630
Chamaraja,VASU,Indian National Congress,41930
Chamaraja,H.S.SHANKARALINGE GOWDA,Janata Dal  (Secular),29015
Chamaraja,NAGENDRA,Bharatiya Janata Party,26168
Chamaraja,SHABBIR MOHAMMED MUSTHAFA,SOCIAL DEMOCRATIC PARTY OF INDIA,4601
Chamaraja,ARUNA GOWDA M.,Karnataka Jantha Paksha,4399
Chamaraja,H.S.MANJUNATHA SETTY,Independent,636
Chamaraja,MAJEED AHMED,Independent,489
Chamaraja,B. VASUDEVA,Independent,408
Chamaraja,MANOJ KUMAR M.,Independent,366
Chamaraja,AKRAM PASHA,Janata Dal  (United),280
Chamaraja,T. SHIVARAMU,Independent,253
Chamaraja,M. BHARATHI,Badavara Shramikara Raitara Congress Party,250
Chamaraja,M. UMADEVI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),231
Chamaraja,HEMAVATHI M.S.,Samajwadi Party,223
Chamaraja,PRADEEP NAGARAJ,Independent,202
Chamaraja,M. PANCHALINGU,Independent,185
Chamaraja,M.V. SRINIVASA MITRA,Hindusthan Nirman Dal,102
Chamaraja,ALI AHMED,Independent,71
Chamaraja,AKEEL AHMEAD,Independent,67
Chamaraja,NAYAZ AHMED,Ambedkar National Congress,62
Chamarajanagar,C.PUTTARANGASHETTY,Indian National Congress,54440
Chamarajanagar,K.R.MALLIKARJUNAPPA,Karnataka Jantha Paksha,43244
Chamarajanagar,VATAL NAGARAJ,Kannada Chalavali Vatal Paksha,18408
Chamarajanagar,R.P.NANJUNDASWAMY,Bahujan Samaj Party,9278
Chamarajanagar,SOMANAYAKA.S,Bharatiya Janata Party,6919
Chamarajanagar,K.VEERABHADRASWAMY,Karnataka Makkala Paksha,4504
Chamarajanagar,S.P.SANNAMADASETTY,Janata Dal  (Secular),2696
Chamarajanagar,RAJU,Independent,2053
Chamarajanagar,M.C.RAJANNA,Communist Party of India  (Marxist-Leninist)  (Liberation),1181
Chamarajanagar,MOHAMMAD INAYATH ULLA,Independent,1122
Chamarajanagar,MAHADEVASWAMY,Independent,874
Chamarajanagar,D.S.DORESWAMY,Samajwadi Party,813
Chamarajanagar,PUTTARAJU,Independent,651
Chamarajanagar,KARUNAKARA.K,Independent,577
Chamrajpet,B.Z.ZAMEER AHMED KHAN,Janata Dal  (Secular),56339
Chamrajpet,G.A.BAVA,Indian National Congress,26177
Chamrajpet,B.V.GANESH,Bharatiya Janata Party,17720
Chamrajpet,USMAN BAIG,Socialistic Democratic Party,2942
Chamrajpet,SUBRAMANI.T,Independent,917
Chamrajpet,SHAHTAJ KHANAM,Karnataka Jantha Paksha,638
Chamrajpet,M.SHIVA KUMAR,Independent,458
Chamrajpet,C.B.K. RAMA,Independent,388
Chamrajpet,ANNAPPA.K,Independent,330
Chamrajpet,K.MANI,Independent,320
Chamrajpet,SYED KHADEER,Independent,280
Chamrajpet,B.V.GANESH,Independent,250
Chamrajpet,S.N.HARISH NARAYAN,Independent,209
Chamrajpet,B.S.GOWDA,Janata Dal  (United),161
Chamrajpet,SYED ASLAM,National People's Party,135
Chamrajpet,AMJAD KHAN,Independent,110
Chamrajpet,ASIF PASHA,Independent,101
Chamrajpet,C.B.ABDUL SAB,Independent,79
Chamrajpet,B.K.ASLAM KHAN,Independent,65
Chamrajpet,ASGAR-A-MAHEEN.S.M,Independent,60
Chamundeshwari,G.T. DEVE GOWDA,Janata Dal  (Secular),75864
Chamundeshwari,M. SATHYANARAYANA,Indian National Congress,68761
Chamundeshwari,APPANNA M,Karnataka Jantha Paksha,16799
Chamundeshwari,A. HEMANTHKUMAR GOWDA,Bharatiya Janata Party,8308
Chamundeshwari,SRINIVAS,Independent,2433
Chamundeshwari,MELLAHALLI MAHADEVASWAMY,Independent,1806
Chamundeshwari,KRISHNEGOWDA,Sarva Janata Party,633
Chamundeshwari,MAHADEVAIAH,Independent,567
Chamundeshwari,K. GOVINDA RAJU,Samajwadi Janata Party(Karnataka),513
Chamundeshwari,C. MAHADEVU,Independent,509
Chamundeshwari,CHIDANANDA K.P,Badavara Shramikara Raitara Congress Party,452
Chamundeshwari,P. KARIGOWDA,Independent,317
Channagiri,VADNAL RAJANNA,Indian National Congress,53355
Channagiri,K.MADAL VIRUPAKSHAPPA,Karnataka Jantha Paksha,51582
Channagiri,HODIGERE RAMESH,Janata Dal  (Secular),28900
Channagiri,H.S. SHIVAKUMAR,Bharatiya Janata Party,4526
Channagiri,AMEER AHMED KOGALURU,Badavara Shramikara Raitara Congress Party,1054
Channagiri,A C S CYCLIST BABU,Independent,879
Channagiri,JAYAMMA.L. DODDABBIGERE,Lok Jan Shakti Party,626
Channagiri,R.MAMATHA,Bahujan Samaj Party,621
Channagiri,KAREKATTE MANJAPPA,Janata Dal  (United),601
Channagiri,VASUDEVA NAIK K.C.,Independent,481
Channagiri,B.SHIVAPPA,Independent,445
Channagiri,HONNEMARADAHALLI CHANDRAPPAGOWDA,Independent,315
Channapatna,C P YOGESHWARA,Samajwadi Party,80099
Channapatna,ANITHA KUMARASWAMY,Janata Dal  (Secular),73635
Channapatna,SADATH ALLI KHAN,Indian National Congress,8134
Channapatna,RAVIKUMAR GOWDA,Bharatiya Janata Party,1609
Channapatna,SYED ZULFIKAR MEHDI,Independent,989
Channapatna,M C V MURTHY,Janata Dal  (United),866
Channapatna,V.S.SUJEEVAN KUMAR,Bahujan Samaj Party,726
Channapatna,SHIVARUDRAIAH,Bharatiya Dr. B.R.Ambedkar Janta Party,624
Channapatna,SUVARNA,Independent,379
Channapatna,B NAGARAJ,Karnataka Jantha Paksha,373
Channapatna,M.YOGESH,Independent,290
Channapatna,MUZAMIL PASHA,Ambedkar National Congress,284
Channapatna,JAI KISAN S. R,Independent,186
Channapatna,J.T.PRAKASH,Independent,165
Channapatna,ASHRAF,Hindustan Janta Party,152
Chickpet,R.V. DEVRAJ,Indian National Congress,44714
Chickpet,UDAY.B.GARUDACHAR,Bharatiya Janata Party,31655
Chickpet,M.C. NARAYANA GOWDA,Janata Dal  (Secular),24382
Chickpet,MUJAHID PASHA.A,SOCIAL DEMOCRATIC PARTY OF INDIA,4821
Chickpet,KHAMAR TAJ,Karnataka Jantha Paksha,953
Chickpet,M.K. SHANMUGARAJ,Independent,454
Chickpet,R. NAGARAJA,Independent,396
Chickpet,S. PADMANABHA,Independent,327
Chickpet,K. RAVICHANDRA RAO,Independent,258
Chickpet,R. VASANTH KUMAR,Independent,235
Chickpet,K.S. BABU,Independent,139
Chickpet,AMBROSE D'MELLO,Independent,133
Chickpet,ABDUL ALEEM TURABI,Independent,113
Chickpet,ASGAR 'A' MAHEEN.S.M,Independent,89
Chickpet,KURAM PASHA,Independent,74
Chickpet,M. ADHI MULAM,Independent,71
Chikkaballapur,DR. K SUDHAKAR,Indian National Congress,74914
Chikkaballapur,K P BACHEGOWDA,Janata Dal  (Secular),59866
Chikkaballapur,A V BYREGOWDA,Bharatiya Janata Party,3910
Chikkaballapur,S V LOKESH,Badavara Shramikara Raitara Congress Party,1692
Chikkaballapur,SUDHAKARA,Independent,1203
Chikkaballapur,DR. N LAKSHMIPATHI BABU,Karnataka Jantha Paksha,1156
Chikkaballapur,M SOMASHEKAR,Bahujan Samaj Party,1013
Chikkaballapur,M VENKATESH,Independent,726
Chikkaballapur,BACHEGOWDA,Independent,575
Chikkaballapur,AMEER MOHAMMED SADIQ,Independent,536
Chikkaballapur,D A BACHEGOWDA,Independent,427
Chikkaballapur,G R NARAYAN SWAMY,Independent,325
Chikkaballapur,M A BASHA,Samajwadi Janata Party(Karnataka),195
Chikkaballapur,N MANJUNATH,Janata Dal  (United),171
Chikkodi-Sadalga,PRAKASH BABANNA HUKKERI,Indian National Congress,102237
Chikkodi-Sadalga,BASAVANNI RUDRAPPA  SANGAPPAGOL,Bharatiya Janata Party,25649
Chikkodi-Sadalga,KIWAD NAGESH TUKARAM,Bahujan Samaj Party,15409
Chikkodi-Sadalga,DR ANNAPPA MARUTI MAGADUM,Janata Dal  (Secular),1842
Chikkodi-Sadalga,RAJU SAMBHA KAMATE,Independent,1139
Chikkodi-Sadalga,RAMAGOUDA URP SOMESH IRAGOUDA PATIL,Karnataka Jantha Paksha,760
Chikkodi-Sadalga,BAHUBALI SHAMAGOUDA PATIL,Independent,568
Chikkodi-Sadalga,APPASAHEB SHRIPATI KURANE,Lok Jan Shakti Party,494
Chikkodi-Sadalga,MOHAN GURAPPA MOTANNAVAR,Independent,448
Chikkodi-Sadalga,SIDDAPPA SHANKAR ITANALE,Badavara Shramikara Raitara Congress Party,315
Chikkodi-Sadalga,KALAGOUDA BABU KALASAPPAGOAL,Independent,301
Chikkodi-Sadalga,BHIMAGOUD SHANKAR KHOT,Janata Dal  (United),213
Chikmagalur,C T RAVI,Bharatiya Janata Party,58683
Chikmagalur,K S SHANTHE GOWDA,Indian National Congress,47695
Chikmagalur,S L DHARME GOWDA,Janata Dal  (Secular),24913
Chikmagalur,K B VEDAMURTHY,Karnataka Jantha Paksha,3541
Chikmagalur,APSAR PASHA,Nationalist Congress Party,801
Chikmagalur,SNAKE NARESH KUMAR,Independent,681
Chikmagalur,DWARAKISH,Hindusthan Nirman Dal,574
Chikmagalur,K REVANNA,Independent,403
Chikmagalur,M M SUDEER,Independent,387
Chikmagalur,MUNIYA BHOVI,Independent,365
Chikmagalur,DHARME GOWDA,Independent,281
Chikmagalur,SURESH,Communist Party of India (Marxist-Leninist) Red Star,226
Chikmagalur,U K GURUSHANTHAPPA,Independent,172
Chikmagalur,HARISHA T,Janata Dal  (United),162
Chikmagalur,APSAR PASHA,Independent,161
Chiknayakanhalli,C.B.SURESHBABU,Janata Dal  (Secular),60759
Chiknayakanhalli,J.C.MADHUSWAMY,Karnataka Jantha Paksha,49620
Chiknayakanhalli,K.S.KIRANA KUMAR,Bharatiya Janata Party,29150
Chiknayakanhalli,SATHISH SASALU,Indian National Congress,10344
Chiknayakanhalli,KENKERE SATHISH,Karnataka Rajya Ryota Sangha,2086
Chiknayakanhalli,CAPTAIN SOMASHEKAR,Bahujan Samaj Party,1743
Chiknayakanhalli,C.M.MANJULA NAGARAJU,Independent,1725
Chiknayakanhalli,RAMACHANDRAIAH BARAGURU,Independent,1648
Chiknayakanhalli,DEVARAJU K.L,Badavara Shramikara Raitara Congress Party,1624
Chiknayakanhalli,G.PRAKASH,Janata Dal  (United),1108
Chiknayakanhalli,HANUMANTHARAMANAYAK,Welfare Party Of India,1019
Chincholi,DR UMESH G JADAV,Indian National Congress,58599
Chincholi,SUNIL VALLYAPUR,Karnataka Jantha Paksha,32539
Chincholi,RAMESH YAKAPUR,Bharatiya Janata Party,12333
Chincholi,SUNIL MOTHILAL,Independent,3081
Chincholi,GOUTAM B BOMNALLI,Bahujan Samaj Party,1374
Chincholi,SANDEEP CHAWAN,Independent,1288
Chincholi,MALLIKARJUN GAJRE,Janata Dal  (Secular),1218
Chincholi,VENKATESHWARAO KUPAVAT,Janata Dal  (United),678
Chincholi,DR. OMRAJ RATTOD,Independent,588
Chincholi,BASAVARAJ. M. WADI,Independent,529
Chincholi,GOPAL L RATTOD,Samajwadi Party,448
Chincholi,VITHAL KERI AMBALGA,Badavara Shramikara Raitara Congress Party,308
Chintamani,J.K.KRISHNAREDDY,Janata Dal  (Secular),69030
Chintamani,DR. M.C. SUDHAKAR,Independent,67257
Chintamani,VANI KRISHNAREDDY,Indian National Congress,12685
Chintamani,SATHYANARAYANA MAHESH,Bharatiya Janata Party,1936
Chintamani,G.S. SUBASH,Independent,1706
Chintamani,HARI SUDHAKARA.V.,Independent,1231
Chintamani,C. GOPINATH,Communist Party of India  (Marxist),736
Chintamani,T.S. SUDHAKARAREDDY,Independent,692
Chintamani,SHAFFI ULLA.D.S.,Independent,625
Chintamani,KRISHNAREDDY. J.K.,Independent,604
Chintamani,T.R. KURLAREDDY,Karnataka Jantha Paksha,487
Chintamani,N.SRINIVAS,Independent,471
Chintamani,HANUMANTHAPPA,Independent,323
Chintamani,SEETHAPPA. V,Bahujan Samaj Party,232
Chintamani,M. KRISHNAREDDY (M.K.),Janata Dal  (United),204
Chitradurga,G.H.THIPPAREDDY,Bharatiya Janata Party,62228
Chitradurga,BASAVARAJAN (BASANNA),Janata Dal  (Secular),35510
Chitradurga,G.S.MANJUNATHA,Indian National Congress,30729
Chitradurga,FAYAZUDDIN. K.S.,Badavara Shramikara Raitara Congress Party,23382
Chitradurga,A.V. UMAPATHI,Karnataka Jantha Paksha,3791
Chitradurga,SATHISH,Independent,1993
Chitradurga,C.K.REHAMAN @ CHAND,Independent,1077
Chitradurga,G.R.PANDURANGA,Bahujan Samaj Party,796
Chitradurga,GANESHA,Independent,698
Chitradurga,N. SURESH,Independent,657
Chitradurga,ISHRATH JAHAN,Rani Chennamma Party,513
Chitradurga,K.S. BASAVARAJA,National People's Party,418
Chitradurga,K.S. MALLIKARJUNA SHETTY,Pyramid Party of India,355
Chitradurga,A. KESHAVAMURTHY,Independent,282
Chitradurga,S. MRUTHYUNJAYAPPA,Independent,273
Chitradurga,H.S. YASHODAMMA,Janata Dal  (United),254
Chitradurga,MAMATHA. K.B.,Samajwadi Party,208
Chitradurga,ASLAM BASHA,Independent,201
Chittapur,PRIYANK KHARGE,Indian National Congress,69379
Chittapur,VALMIKI NAIK,Bharatiya Janata Party,38188
Chittapur,GURUNATH,Karnataka Jantha Paksha,9596
Chittapur,RAJU MUKKANNA WADI,Independent,1546
Chittapur,AYYAPPA RAMATEERTH,Bahujan Samaj Party,1310
Chittapur,DHANALAXMI RATHOD,Welfare Party Of India,1103
Chittapur,MAHESH KASHI,Independent,982
Chittapur,TIPPANNA ODEYARAJ,Janata Dal  (Secular),955
Chittapur,RAMADEVI R MADGI,Independent,657
Dasarahalli,S MUNIRAJU,Bharatiya Janata Party,57562
Dasarahalli,B L SHANKAR,Indian National Congress,46734
Dasarahalli,ANDANAPPA B.,Janata Dal  (Secular),43049
Dasarahalli,G MARISWAMY,Karnataka Jantha Paksha,18238
Dasarahalli,GOVINDEGOWDA M B,Independent,16206
Dasarahalli,R GANGADHAR,Bahujan Samaj Party,1422
Dasarahalli,KEMPARAJU P N,Badavara Shramikara Raitara Congress Party,1331
Dasarahalli,K MUNIRAJU,Independent,1174
Dasarahalli,R MANJUNATH,Independent,1155
Dasarahalli,MANJUNATH N  (KARLE MANJU),Independent,817
Dasarahalli,Y G NAGARAJ,Bharatiya Janta Dal,680
Dasarahalli,G LAKSHMIKANTHA ACHARYA,Independent,512
Dasarahalli,GOVINDAIAH,Independent,374
Dasarahalli,M ZUBER AHAMAD,Independent,357
Dasarahalli,LAKSHMINARAYANA SINGH,Independent,305
Dasarahalli,B K SHOBHABAI,Janata Dal  (United),292
Dasarahalli,K MALLIKARJUNA NAIDU,Independent,240
Dasarahalli,DEVARAJU H,Independent,219
Dasarahalli,UMESH,Independent,215
Dasarahalli,M GIRIYAPPA,Independent,205
Dasarahalli,A ANTHONI,Independent,171
Davanagere North,S S MALLIKARJUNA,Indian National Congress,88101
Davanagere North,S A RAVINDRANATH,Bharatiya Janata Party,30821
Davanagere North,JAGADISH B S,Karnataka Jantha Paksha,6764
Davanagere North,T GANESHA DASAKARIYAPPA,Janata Dal  (Secular),3537
Davanagere North,B GNANA PRAKASH,Independent,1131
Davanagere North,MOHAMMED JABI,Nationalist Congress Party,1003
Davanagere North,ANNAPPA S H,Bahujan Samaj Party,361
Davanagere North,M BASAVARAJAIAH,Badavara Shramikara Raitara Congress Party,345
Davanagere North,RIZWAN SAB H B,Independent,334
Davanagere North,H K KENCHAVEERAPPA,Vichara Jagruthi Congress Paksha,280
Davanagere North,H G MALLIKARJUNA,Janata Dal  (United),260
Davanagere North,JAMEEL AHAMED BELLARY,Independent,259
Davanagere North,N J NINGAPPA,Independent,240
Davanagere North,A M VEERAIAH,Independent,235
Davanagere North,M SAVITHA PRAKASH,Independent,227
Davanagere North,MANJUNATHA,Independent,169
Davanagere North,T R INDRAMMA,Independent,137
Davanagere North,ANAJI ANJINAPPA,Independent,130
Davanagere North,G C PATIL,Sarva Janata Party,116
Davanagere South,SHAMANUR SHIVASHANKARAPPA,Indian National Congress,66320
Davanagere South,KAREKATTE SYED SAIFULLA,Janata Dal  (Secular),26162
Davanagere South,B LOKESH,Bharatiya Janata Party,21282
Davanagere South,B M SATISH,Karnataka Jantha Paksha,3200
Davanagere South,SUBHAN SAB,Independent,700
Davanagere South,HIMAYATH ULLA,Nationalist Congress Party,645
Davanagere South,MOHAMAD BRUHAN,Independent,399
Davanagere South,BHAIRAJJARA KRISHNAPPA,Bahujan Samaj Party,330
Davanagere South,SHAFEEQ PANDIT,Badavara Shramikara Raitara Congress Party,257
Davanagere South,B R SALEEM BHAI,Independent,223
Davanagere South,T R INDRAMMA,Independent,214
Davanagere South,RAHAMATHULLA K C,Independent,182
Davanagere South,MUDDAPURADA RAHAMAN SAB,Janata Dal  (United),174
Davanagere South,NANNUSAB SHEIKH SHENDI,Sarva Janata Party,166
Davanagere South,R MALATESH (GUPTA),National People's Party,156
Devadurga,A. VENKATESH NAIK,Indian National Congress,62070
Devadurga,ARAKERA K SHIVANAGOUDA NAYAK,Bharatiya Janata Party,58370
Devadurga,SHANTH GOWDA,Karnataka Jantha Paksha,2747
Devadurga,ANJALA CHANNANAGOUDA,Badavara Shramikara Raitara Congress Party,2158
Devadurga,BASAVARAJ NAYAK GUGERADODY,Communist Party of India (Marxist-Leninist) Red Star,1217
Devadurga,CHANNABASAVA,Janata Dal  (United),860
Devanahalli,PILLA MUNISHAMAPPA,Janata Dal  (Secular),70323
Devanahalli,VENKATASWAMY,Indian National Congress,68381
Devanahalli,G CHANDRANNA,Bharatiya Janata Party,9418
Devanahalli,VENKATESH P,Bahujan Samaj Party,1283
Devanahalli,D R NARAYANASWAMY,Badavara Shramikara Raitara Congress Party,1201
Devanahalli,A HANUMANTHAPPA,Karnataka Jantha Paksha,929
Devanahalli,K S SWAMY,Independent,865
Devanahalli,SHIVAPPA M,Independent,419
Devanahalli,RAMA NAIK,Independent,297
Devanahalli,AKKAYAMMA,Independent,234
Devanahalli,D MUNIRAJU,Independent,197
Devar Hippargi,AMINAPPAGOUDA SANGANAGOUDA PATIL,Indian National Congress,36231
Devar Hippargi,SOMANAGOUDA. B. PATIL (SASANUR),Bharatiya Janata Party,28135
Devar Hippargi,BHIMANAGOUDA (RAJUGOUDA) .B. PATIL,Karnataka Jantha Paksha,24707
Devar Hippargi,SURESHAGOUDA MUDIGOUDAPPAGOUDA PATIL,Independent,12421
Devar Hippargi,RESHMAKOUSAR KHAJABANDENAWAJ PADEKANUR,Janata Dal  (Secular),8118
Devar Hippargi,YASHAVANT MALAPPA PUJARI,Bahujan Samaj Party,1069
Devar Hippargi,SHASHIDHAR BASANNA,Independent,968
Devar Hippargi,IRFANULLAH HAFIZULLA MUNASI,Welfare Party Of India,895
Devar Hippargi,KANTAPPA (KANTU) SHANKREPPA INCHAGERI,Independent,637
Devar Hippargi,A SREENIVASA REDDY,Badavara Shramikara Raitara Congress Party,622
Devar Hippargi,DHANASING SUBHASH LAMANI,Janata Dal  (United),550
Devar Hippargi,SAJJAN MALLESHAPPA ISHVARAPPA,Independent,545
Devar Hippargi,LALASAB RAJESAB KUNTOJI,Independent,347
Dharwad,VINAY KULKARNI,Indian National Congress,53453
Dharwad,AMRUT AYYAPPA DESAI,Janata Dal  (Secular),35133
Dharwad,ASHTAGI TAVANAPPA PAYAPPA,Karnataka Jantha Paksha,21589
Dharwad,SEEMA ASHOK MASUTI,Bharatiya Janata Party,16896
Dharwad,SOMAPPA BASAPPA BENAKATTI,Independent,2162
Dharwad,BASAVARAJ BUDIHAL,Nationalist Congress Party,811
Dharwad,BASAVARAJ YALLAPPA PARASANNAVAR,Independent,718
Dharwad,MANJUNATH HANAMANTAPPA MANGALAGATTI,Independent,578
Dharwad,YOGESHGOUDA NINGANGOUDA GOUDAR,Badavara Shramikara Raitara Congress Party,405
Dharwad,NIJAMUDDIN (HANNU) ABDULNABI SOUDAGAR,Independent,357
Dharwad,PATIL BASAVARAJ NINGANAGOUDA,Independent,343
